item,itemLabel,image,article,utgivelsesdato
"http://www.wikidata.org/entity/Q3931423","Red Eclipse","http://commons.wikimedia.org/wiki/Special:FilePath/Red%20Eclipse%20screenshot%20%28Elara%201.4.1%29.png","https://en.wikipedia.org/wiki/Red_Eclipse","2011-03-15T00:00:00Z"
"http://www.wikidata.org/entity/Q4817228","Atom Zombie Smasher","http://commons.wikimedia.org/wiki/Special:FilePath/Atom%20Zombie%20Smasher%20cover%20%282011%29.jpg","https://en.wikipedia.org/wiki/Atom_Zombie_Smasher","2011-01-22T00:00:00Z"
"http://www.wikidata.org/entity/Q211735","Assassin’s Creed II","http://commons.wikimedia.org/wiki/Special:FilePath/Assassin%27s%20Creed%20II%20by%20Reindertot.jpg","https://no.wikipedia.org/wiki/Assassin%E2%80%99s_Creed_II","2011-01-06T00:00:00Z"
"http://www.wikidata.org/entity/Q151614","Sonic Colours","http://commons.wikimedia.org/wiki/Special:FilePath/Sonic%20Colors%20Ultimate%20-%20Tropical%20Resort.jpg","https://en.wikipedia.org/wiki/Sonic_Colors","2010-11-18T00:00:00Z"
"http://www.wikidata.org/entity/Q3990919","ThruSpace","http://commons.wikimedia.org/wiki/Special:FilePath/ThruSpace%20-%20Cubochiavi.gif","https://en.wikipedia.org/wiki/ThruSpace","2010-11-05T00:00:00Z"
"http://www.wikidata.org/entity/Q1053648","Centipede","http://commons.wikimedia.org/wiki/Special:FilePath/Centipede%20Cabaret%20Arcade%20Game.jpg","https://en.wikipedia.org/wiki/Centipede_(video_game)","2010-11-03T00:00:00Z"
"http://www.wikidata.org/entity/Q129114","The Ball","http://commons.wikimedia.org/wiki/Special:FilePath/The%20Ball%20-%20Screenshot%2002.jpg","https://en.wikipedia.org/wiki/The_Ball_(video_game)","2010-10-26T00:00:00Z"
"http://www.wikidata.org/entity/Q753749","Fallout: New Vegas","http://commons.wikimedia.org/wiki/Special:FilePath/Free%20depiction%20of%20the%20Fallout%20New%20Vegas%20Xbox%20360%20box%20art%20%28cropped%29.png","https://no.wikipedia.org/wiki/Fallout:_New_Vegas","2010-10-19T00:00:00Z"
"http://www.wikidata.org/entity/Q1762800","Ravenwood Fair","http://commons.wikimedia.org/wiki/Special:FilePath/LargeFair.jpg","https://en.wikipedia.org/wiki/Ravenwood_Fair","2010-10-19T00:00:00Z"
"http://www.wikidata.org/entity/Q850445","Medal of Honor","http://commons.wikimedia.org/wiki/Special:FilePath/View%20from%20DNF%20line%20%284955869149%29.jpg","https://en.wikipedia.org/wiki/Medal_of_Honor_(2010_video_game)","2010-10-12T00:00:00Z"
"http://www.wikidata.org/entity/Q4043019","The Kings' Crusade","http://commons.wikimedia.org/wiki/Special:FilePath/Kings%27%20Crusade%20cover%20art.jpg","https://en.wikipedia.org/wiki/The_Kings%27_Crusade","2010-10-08T00:00:00Z"
"http://www.wikidata.org/entity/Q1900280","Dead Rising 2","http://commons.wikimedia.org/wiki/Special:FilePath/Dead%20rising%20%284737184751%29.jpg","https://en.wikipedia.org/wiki/Dead_Rising_2","2010-09-27T00:00:00Z"
"http://www.wikidata.org/entity/Q18154150","Solipskier","http://commons.wikimedia.org/wiki/Special:FilePath/Solipskier%20screenshot%201.png","https://en.wikipedia.org/wiki/Solipskier","2010-08-29T00:00:00Z"
"http://www.wikidata.org/entity/Q489583","And Yet It Moves","http://commons.wikimedia.org/wiki/Special:FilePath/And%20Yet%20It%20Moves%20title.png","https://en.wikipedia.org/wiki/And_Yet_It_Moves","2010-08-27T00:00:00Z"
"http://www.wikidata.org/entity/Q12252310","Hydro Thunder Hurricane","http://commons.wikimedia.org/wiki/Special:FilePath/MadisonRegattaWinner2008.jpg","https://en.wikipedia.org/wiki/Hydro_Thunder_Hurricane","2010-07-28T00:00:00Z"
"http://www.wikidata.org/entity/Q7158098","Pearl Harbor Trilogy – 1941: Red Sun Rising","http://commons.wikimedia.org/wiki/Special:FilePath/Pearl%20Harbor%20Trilogy%20%E2%80%93%201941-%20Red%20Sun%20Rising%20screenshot%2010.jpg","https://en.wikipedia.org/wiki/Pearl_Harbor_Trilogy_%E2%80%93_1941:_Red_Sun_Rising","2010-07-16T00:00:00Z"
"http://www.wikidata.org/entity/Q5215110","Dance Dance Revolution X2","http://commons.wikimedia.org/wiki/Special:FilePath/DDR%20X2.png","https://en.wikipedia.org/wiki/Dance_Dance_Revolution_X2","2010-07-07T00:00:00Z"
"http://www.wikidata.org/entity/Q2679021","Duck Attack!","http://commons.wikimedia.org/wiki/Special:FilePath/DuckAttackTitleScreen.png","https://en.wikipedia.org/wiki/Duck_Attack!","2010-07-01T00:00:00Z"
"http://www.wikidata.org/entity/Q5461994","Flotilla","http://commons.wikimedia.org/wiki/Special:FilePath/Flotilla%20cover.png","https://en.wikipedia.org/wiki/Flotilla_(video_game)","2010-03-29T00:00:00Z"
"http://www.wikidata.org/entity/Q7575471","Speed Dreams","http://commons.wikimedia.org/wiki/Special:FilePath/Speed%20Dreams%20Ruudskogen.png","https://en.wikipedia.org/wiki/Speed_Dreams","2010-03-27T00:00:00Z"
