item,itemLabel,image,article,kjemisk_symbol
"http://www.wikidata.org/entity/Q1053","molybden","http://commons.wikimedia.org/wiki/Special:FilePath/Molybdenum%20crystaline%20fragment%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Molybden","Mo"
"http://www.wikidata.org/entity/Q731","mangan","http://commons.wikimedia.org/wiki/Special:FilePath/Manganese%20electrolytic%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Mangan","Mn"
"http://www.wikidata.org/entity/Q660","magnesium","http://commons.wikimedia.org/wiki/Special:FilePath/Magnesium%20crystals.jpg","https://nn.wikipedia.org/wiki/Magnesium","Mg"
"http://www.wikidata.org/entity/Q1898","mendelevium","http://commons.wikimedia.org/wiki/Special:FilePath/Mendelevium.svg","https://nn.wikipedia.org/wiki/Mendelevium","Md"
"http://www.wikidata.org/entity/Q1303","moscovium","http://commons.wikimedia.org/wiki/Special:FilePath/U.S.%20Department%20of%20Energy%20-%20Science%20-%20529%20005%20001%20%289735158765%29.jpg","https://nn.wikipedia.org/wiki/Moscovium","Mc"
"http://www.wikidata.org/entity/Q1857","lutetium","http://commons.wikimedia.org/wiki/Special:FilePath/Lutetium%20sublimed%20dendritic%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Lutetium","Lu"
"http://www.wikidata.org/entity/Q1905","lawrencium","http://commons.wikimedia.org/wiki/Special:FilePath/Lawrencium.svg","https://nn.wikipedia.org/wiki/Lawrencium","Lr"
"http://www.wikidata.org/entity/Q568","litium","http://commons.wikimedia.org/wiki/Special:FilePath/Lithium%20paraffin.jpg","https://nn.wikipedia.org/wiki/Litium","Li"
"http://www.wikidata.org/entity/Q1801","lantan","http://commons.wikimedia.org/wiki/Special:FilePath/Lanthan%201-cropflipped.jpg","https://nn.wikipedia.org/wiki/Lantan","La"
"http://www.wikidata.org/entity/Q888","krypton","http://commons.wikimedia.org/wiki/Special:FilePath/KrTube.jpg","https://nn.wikipedia.org/wiki/Krypton","Kr"
"http://www.wikidata.org/entity/Q703","kalium","http://commons.wikimedia.org/wiki/Special:FilePath/Kalium.jpg","https://nn.wikipedia.org/wiki/Kalium","K"
