"aircraft","aircraftLabel","passengers","image","article"
"http://www.wikidata.org/entity/Q83734","Tatra T.101","","http://commons.wikimedia.org/wiki/Special:FilePath/Tatra%20101.2.JPG",""
"http://www.wikidata.org/entity/Q1550297","Tecnam P2006T","","http://commons.wikimedia.org/wiki/Special:FilePath/Tecnam%20P2006T%201.jpg",""
"http://www.wikidata.org/entity/Q1719276","Tecnam P2008","","http://commons.wikimedia.org/wiki/Special:FilePath/Tecnam%20P2008.jpg",""
"http://www.wikidata.org/entity/Q1146704","Tupolev Tu-2000","","http://commons.wikimedia.org/wiki/Special:FilePath/Tu-2000.jpg",""
"http://www.wikidata.org/entity/Q338022","Tupolev Tu-244","","http://commons.wikimedia.org/wiki/Special:FilePath/Tupolew%20Tu-244%20Mockup%20vul.jpg",""
"http://www.wikidata.org/entity/Q378666","Type E","","http://commons.wikimedia.org/wiki/Special:FilePath/Avro%20500.jpg",""
"http://www.wikidata.org/entity/Q127407","Utva Trojka","","http://commons.wikimedia.org/wiki/Special:FilePath/Trojka.JPG",""
"http://www.wikidata.org/entity/Q2301674","VFW VAK 191B","","http://commons.wikimedia.org/wiki/Special:FilePath/Aircraft%20VAK191B%20face.jpg",""
"http://www.wikidata.org/entity/Q269522","Vickers Type 123","","http://commons.wikimedia.org/wiki/Special:FilePath/Vickers%20123.jpg",""
"http://www.wikidata.org/entity/Q2918293","Vickers Type 264 Valentia","","http://commons.wikimedia.org/wiki/Special:FilePath/Vickers%20Type%20264%20Valentia.jpg",""
"http://www.wikidata.org/entity/Q2054676","Vickers Wibault","","http://commons.wikimedia.org/wiki/Special:FilePath/Vickers%20121%20Wibault%20Scout.jpg",""
"http://www.wikidata.org/entity/Q1624435","Vogt Lo-100","","http://commons.wikimedia.org/wiki/Special:FilePath/Lo100d0546.JPG",""
"http://www.wikidata.org/entity/Q2518938","Vought XF5U","","http://commons.wikimedia.org/wiki/Special:FilePath/Vought%20XF5U.jpg",""
"http://www.wikidata.org/entity/Q761520","Wainfan Facetmobile","","http://commons.wikimedia.org/wiki/Special:FilePath/Facetmobile.png",""
"http://www.wikidata.org/entity/Q3566562","Wassmer WA-51","","http://commons.wikimedia.org/wiki/Special:FilePath/Wassmer%20WA-54%20Atlantic%20D-EERC%2001.jpg",""
"http://www.wikidata.org/entity/Q786869","Westland Limousine","","http://commons.wikimedia.org/wiki/Special:FilePath/Westland%20limousine%20line%20drawing%20from%20Flight%201921.JPG",""
