"painting","paintingLabel","artist","artistLabel","year","image","article","artistArticle"
"http://www.wikidata.org/entity/Q114289267","Hans Jacob Broch Sparre","http://www.wikidata.org/entity/Q2610236","Johannes Flintoe","1831-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Flintoe%20-%20Hans%20Jacob%20Broch%20Sparre%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20S000678%20%28cropped%29.jpg","","https://no.wikipedia.org/wiki/Johannes_Flintoe"
"http://www.wikidata.org/entity/Q77381162","Hans Jacob Grøgaard","http://www.wikidata.org/entity/Q13426775","Hans Leganger Reusch","1836-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Leganger%20Reusch%20-%20Hans%20Jacob%20Gr%C3%B8gaard%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20G000329.jpg","","https://no.wikipedia.org/wiki/Hans_Leganger_Reusch"
"http://www.wikidata.org/entity/Q109517344","Hans Aall","http://www.wikidata.org/entity/Q1805976","Jacob Munch","1815-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Munch%20-%20Hans%20Aall%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20%C3%85000076.jpg","","https://no.wikipedia.org/wiki/Jacob_Munch"
"http://www.wikidata.org/entity/Q114257290","Hartvig Kaas Munthe","http://www.wikidata.org/entity/Q2610236","Johannes Flintoe","1819-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Flintoe%20-%20Hartvig%20Kaas%20Munthe%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20M000544.jpg","","https://no.wikipedia.org/wiki/Johannes_Flintoe"
"http://www.wikidata.org/entity/Q114289351","Henriette Catschuissa Marguerite Rosalie Sparre","http://www.wikidata.org/entity/Q2610236","Johannes Flintoe","1828-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Flintoe%20-%20Henriette%20Catschuissa%20Marguerite%20Rosalie%20Sparre%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20S000681%20%28cropped%29.jpg","","https://no.wikipedia.org/wiki/Johannes_Flintoe"
"http://www.wikidata.org/entity/Q120799932","Henrik Henriksen Formann","http://www.wikidata.org/entity/Q3434119","Johan Gørbitz","1824-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20G%C3%B8rbitz%20-%20Henrik%20Henriksen%20Formann%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20F000223.jpg","","https://no.wikipedia.org/wiki/Johan_G%C3%B8rbitz"
"http://www.wikidata.org/entity/Q19829713","Hestmanden","http://www.wikidata.org/entity/Q1508306","Knud Baade","1834-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Baade%20Hestmanden.jpg","","https://no.wikipedia.org/wiki/Knud_Baade"
"http://www.wikidata.org/entity/Q56702103","Hills near Quisisana in morning Light","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1820-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Dahl%20-%20Hills%20near%20Quisisana%20in%20morning%20Light%20-%20Quisisana%20i%20morgenbelysning%20-%20KODE%20Art%20Museums%20and%20Composer%20Homes%20-%20RMS.M.00059.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q55425776","Hillside in the Plauenscher Grund","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1832-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Dahl%20-%20Hillside%20in%20the%20Plauenscher%20Grund%20-%20NG.M.00426-011%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q55421320","Hønefossen","http://www.wikidata.org/entity/Q2610236","Johannes Flintoe","1819-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Flintoe%20-%20H%C3%B8nefossen%20-%20NG.M.04325%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Johannes_Flintoe"
"http://www.wikidata.org/entity/Q21979619","Indsejlingen til København","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1830-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Indsejlingen%20til%20K%C3%B8benhavn%20%29J.%20C.%20Dahl%29.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
